VIN,EXTERIOR,INTERIOR,DATE_SOLD,CUSTOMER_ID
5UXCY6C09L9B64370,Riverside Blue metallic,Black Full Merino Leather,,
5UXCY8C07LLE40592,Riverside Blue metallic,Coffee Vernasca Leather,,
WBXYJ1C04L5P68947,Mineral Grey Metallic,Black SensaTec,,
WBXYJ1C00L5R26023,Mineral White Metallic,Mocha Dakota Leather,,
WBXYJ1C04L5R23500,Black Sapphire Metallic,Oyster Perforated Dakota,,
WBXYJ1C08L5R23435,Black Sapphire Metallic,Black SensaTec,,
WBXYJ1C0XL5P29179,Black Sapphire Metallic,Black Dakota Leather,,
WBXYJ1C00L5P78181,Mineral Grey Metallic,Black SensaTec,,
WBSAE0C09LBM08516,Davit Grey Metallic,Silverstone Full Leather,,
5UXCR6C00L9B83306,Mineral White Metallic,Black SensaTec,,
5UXCR6C09L9C75353,Mineral White Metallic,Canberra Beige/Black SensaTec,,
5UX2V5C08L9C59081,Alpine White,Black Vernasca Leather,,
2FMPK4AP1LBA14516,Ford Performance Blue,Ebony,,
2FMPK4APXLBA14515,Star White,Ebony,,
2FMPK4J91LBA14517,Dark Persian Green,Ebony,,
2FMPK4K94LBA28359,Atlas Blue,Ebony,,
2FMPK4K92LBA28358,Star White,Ebony,,
2FMPK4K97LBA14519,Blue,Ebony,,
2FMPK4AP7LBA33491,Ford Performance Blue,Ebony,,
2FMPK4K95LBA51519,Star White,Ebony,,
2FMPK4K98LBA49022,Magnetic,Ebony,,
1FMCU9J98LUA58305,Ingot Silver,Ebony,,
1FMCU9H68LUA11819,Dark Persian Green,Ebony,,
1FMCU9H91LUA11820,Rapid Red,Sandstone,,
1FMCU9G65LUA58307,Velocity Blue,Ebony,,
1FMCU9H69LUA58308,Rapid Red,Ebony,,
1FMCU9J91LUA36632,Star White,Sandstone,,
1FMCU9J9XLUA79947,Star White,Ebony,,
1FMCU9DZ6LUA79942,Star White,Sandstone,,
1FMCU9G61LUA79946,Velocity Blue,Ebony,,
1FMCU9DZ1LUA80061,Star White,Ebony,,
1FMCU9DZ0LUB06875,Star White,Ebony,,
1FMCU9F66LUA79944,Magnetic,Ebony,,
1FMCU9J91LUA79948,Ingot Silver,Ebony,,
1FMCU9G62LUB06877,Velocity Blue,Ebony,,
1FMCU9G64LUB06878,Magnetic,Ebony,,
1FMCU9G66LUB06879,Rapid Red,Ebony,,
1FMCU9H93LUB06881,Ingot Silver,Ebony,,
1FMCU9H95LUB06882,Star White,Sandstone,,
1FMCU9G69LUB42565,Oxford White,Ebony,,
1FMCU9H68LUB24671,Agate Black,Ebony,,
1FMCU9DZ1LUB06741,Black,Ebony,,
1FMJU1PT5LEA06815,Rapid Red,Ebony,,
1FMJK1PT6LEA15657,Star White,Ebony,,
1FMJU1JT9LEA19205,Rapid Red,Ebony,,
1FMJK1JT2LEA25076,Star White,Ebony,,
1FMJK1JT7LEA33738,Oxford White,Ebony,,
1FMJU2AT9LEA33739,Star White,Ebony,,
1FMJU2AT4LEA38167,Desert Gold,Ebony,,
MAJ6S3JL8LC313840,Lightning Blue,Ebony Black,,
MAJ6S3KL1LC314374,Diamond White,Ebony Black,,
MAJ6S3KLXLC311182,Diamond White,Ebony Black,,
MAJ6S3GL0LC315556,Ruby Red,Ebony Black,,
MAJ3S2GE4LC319981,Race Red,Ebony Black,,
MAJ6S3GL1LC319051,Canyon Ridge,Ebony Black,,
MAJ6S3JL4LC353378,Moondust Silver,Ebony Black,,
MAJ6S3JL5LC361246,Moondust Silver,Ebony Black,,
1FMSK8FH5LGA55159,Rapid Red,Ebony with Light Slate Uppers,,
